'chair', ':', '91.05758666992188', ':', '[711, 274, 799, 457]'
'person', ':', '77.47963070869446', ':', '[479, 130, 591, 445]'
'person', ':', '94.17034983634949', ':', '[130, 108, 320, 522]'
