'person', ':', '78.04355025291443', ':', '[1242, 516, 1270, 554]'
'person', ':', '78.102046251297', ':', '[441, 547, 703, 736]'
'person', ':', '79.10476326942444', ':', '[1158, 526, 1192, 570]'
'person', ':', '81.7171573638916', ':', '[422, 553, 836, 927]'
'person', ':', '82.89206027984619', ':', '[772, 594, 1190, 770]'
'person', ':', '84.1850221157074', ':', '[134, 592, 534, 907]'
'person', ':', '88.62547874450684', ':', '[411, 529, 498, 671]'
'person', ':', '94.68932747840881', ':', '[1328, 575, 1523, 757]'
'person', ':', '99.02290105819702', ':', '[101, 534, 321, 806]'
