'person', ':', '61.58385872840881', ':', '[227, 568, 379, 664]'
'person', ':', '87.4943196773529', ':', '[783, 515, 813, 595]'
'building', ':', '99.99337196350098', ':', '[14, 14, 1019, 615]'
