'truck', ':', '50.918298959732056', ':', '[410, 340, 455, 364]'
'airplane', ':', '64.52945470809937', ':', '[50, 221, 456, 344]'
'airplane', ':', '78.19810509681702', ':', '[693, 205, 947, 350]'
'airplane', ':', '99.3440568447113', ':', '[480, 212, 887, 377]'
'building', ':', '98.51737022399902', ':', '[0, 146, 972, 375]'
