'hand_drum', ':', '97.65833020210266', ':', '[217, 285, 301, 661]'
'hand_drum', ':', '96.1555004119873', ':', '[427, 542, 549, 863]'
'hand_drum', ':', '91.7762041091919', ':', '[126, 544, 253, 896]'
