'sandwich', ':', '67.36719012260437', ':', '[0, 98, 186, 446]'
'sandwich', ':', '81.91049098968506', ':', '[1, 278, 354, 552]'
'sandwich', ':', '87.00005412101746', ':', '[510, 1, 786, 165]'
'sandwich', ':', '97.71773219108582', ':', '[119, 13, 324, 205]'
