'tennis racket', ':', '99.97456073760986', ':', '[730, 652, 1444, 968]'
'sports ball', ':', '98.66876602172852', ':', '[1198, 776, 1303, 877]'
'person', ':', '99.99341368675232', ':', '[56, 6, 1188, 1107]'
