'boat', ':', '51.55822038650513', ':', '[356, 558, 698, 692]'
'boat', ':', '61.82466149330139', ':', '[982, 593, 1400, 775]'
'boat', ':', '64.77076411247253', ':', '[1212, 477, 1420, 642]'
'lamp', ':', '91.93543791770935', ':', '[77, 13, 177, 559]'
