'person', ':', '56.050390005111694', ':', '[75, 459, 1832, 760]'
'person', ':', '59.43789482116699', ':', '[899, 311, 981, 499]'
'people_crowd', ':', '99.99938011169434', ':', '[0, 502, 1979, 756]'
