'chair', ':', '79.91286516189575', ':', '[210, 932, 629, 1366]'
'chair', ':', '82.25985765457153', ':', '[1001, 949, 1280, 1204]'
'chair', ':', '89.59007263183594', ':', '[1363, 800, 1618, 1101]'
'chair', ':', '96.96963429450989', ':', '[1572, 854, 1913, 1334]'
