'person', ':', '56.886082887649536', ':', '[197, 374, 268, 475]'
'person', ':', '59.28081274032593', ':', '[482, 423, 556, 573]'
'person', ':', '67.01857447624207', ':', '[311, 298, 383, 402]'
'person', ':', '72.73816466331482', ':', '[407, 434, 479, 575]'
'person', ':', '79.33810353279114', ':', '[422, 324, 499, 453]'
'person', ':', '85.43038368225098', ':', '[69, 54, 899, 552]'
'people_crowd', ':', '99.89056587219238', ':', '[39, 62, 912, 595]'
