'vase', ':', '62.94475197792053', ':', '[470, 236, 506, 283]'
'vase', ':', '97.4358856678009', ':', '[190, 237, 220, 290]'
'bed', ':', '99.76484775543213', ':', '[362, 198, 827, 448]'
'potted plant', ':', '98.44864010810852', ':', '[389, 14, 594, 302]'
'couch', ':', '65.74419736862183', ':', '[257, 207, 446, 320]'
'chair', ':', '98.8951027393341', ':', '[26, 203, 228, 422]'
