'boat', ':', '67.88703203201294', ':', '[1012, 614, 1439, 799]'
'boat', ':', '75.61580538749695', ':', '[1248, 492, 1473, 669]'
'lamp', ':', '93.72727274894714', ':', '[81, 9, 181, 581]'
