'chair', ':', '68.02589297294617', ':', '[1, 143, 77, 307]'
'chair', ':', '75.6649374961853', ':', '[492, 145, 564, 303]'
'piano', ':', '99.99384880065918', ':', '[78, 100, 656, 520]'
