'carrot', ':', '62.95653581619263', ':', '[555, 334, 639, 428]'
'carrot', ':', '80.62911629676819', ':', '[536, 259, 635, 410]'
'banana', ':', '75.68540573120117', ':', '[292, 122, 458, 296]'
