'vase', ':', '74.18267726898193', ':', '[476, 18, 686, 521]'
'hand_drum', ':', '97.32807874679565', ':', '[128, 124, 318, 499]'
'hand_drum', ':', '99.37852025032043', ':', '[486, 108, 667, 514]'
'hand_drum', ':', '92.32696294784546', ':', '[302, 143, 481, 441]'
