'book', ':', '78.39387655258179', ':', '[1381, 720, 1641, 776]'
'laptop', ':', '98.95943999290466', ':', '[1035, 601, 1314, 749]'
'chair', ':', '99.91267323493958', ':', '[95, 598, 663, 1425]'
