'giraffe', ':', '99.96588826179504', ':', '[6, 12, 962, 1314]'
'piano', ':', '97.94129729270935', ':', '[45, 0, 855, 1364]'
'guitar', ':', '98.31258654594421', ':', '[258, 14, 1032, 1368]'
