'giraffe', ':', '97.14534282684326', ':', '[181, 433, 501, 963]'
'giraffe', ':', '98.74666929244995', ':', '[1473, 543, 1690, 1002]'
'giraffe', ':', '99.9367892742157', ':', '[529, 359, 1420, 1303]'
