'person', ':', '50.60588717460632', ':', '[664, 217, 778, 333]'
'person', ':', '51.83808207511902', ':', '[211, 128, 301, 208]'
'person', ':', '52.71753668785095', ':', '[574, 176, 681, 266]'
'person', ':', '59.314608573913574', ':', '[198, 308, 444, 517]'
'person', ':', '59.50226187705994', ':', '[327, 67, 430, 263]'
'person', ':', '74.47592616081238', ':', '[506, 156, 578, 290]'
'person', ':', '90.56421518325806', ':', '[0, 179, 159, 437]'
'person', ':', '95.3410804271698', ':', '[536, 261, 773, 525]'
'person', ':', '96.61068916320801', ':', '[55, 53, 176, 218]'
