'vase', ':', '58.483296632766724', ':', '[371, 188, 400, 224]'
'vase', ':', '97.28589653968811', ':', '[150, 189, 174, 230]'
'bed', ':', '99.75607395172119', ':', '[288, 155, 652, 357]'
'potted plant', ':', '98.57949018478394', ':', '[305, 11, 472, 241]'
'chair', ':', '98.79569411277771', ':', '[23, 165, 173, 352]'
