'person', ':', '64.89124894142151', ':', '[321, 803, 536, 941]'
'person', ':', '86.32266521453857', ':', '[1107, 730, 1149, 842]'
'building', ':', '99.99357461929321', ':', '[20, 20, 1441, 870]'
