'tv', ':', '93.39271783828735', ':', '[655, 204, 1374, 606]'
'speaker', ':', '99.89506006240845', ':', '[506, 382, 673, 635]'
'speaker', ':', '99.9527633190155', ':', '[1334, 390, 1467, 631]'
