'person', ':', '99.08697009086609', ':', '[409, 243, 635, 799]'
'person', ':', '99.47971105575562', ':', '[236, 213, 477, 808]'
'person', ':', '99.52406883239746', ':', '[559, 165, 827, 808]'
'person', ':', '99.7979998588562', ':', '[647, 186, 983, 810]'
'person', ':', '99.8662531375885', ':', '[49, 299, 355, 803]'
