'vase', ':', '67.49373078346252', ':', '[1439, 609, 1506, 808]'
'chair', ':', '82.62020349502563', ':', '[1016, 973, 1252, 1380]'
'chair', ':', '89.96701836585999', ':', '[609, 983, 882, 1406]'
'chair', ':', '95.42755484580994', ':', '[1296, 826, 1543, 1308]'
'chair', ':', '97.96140789985657', ':', '[1558, 892, 1741, 1179]'
'apple', ':', '51.31114721298218', ':', '[1171, 770, 1234, 813]'
'bottle', ':', '56.2347412109375', ':', '[468, 608, 509, 727]'
'building', ':', '99.54604506492615', ':', '[0, 0, 2229, 819]'
