'car', ':', '98.08312654495239', ':', '[1, 123, 37, 161]'
'person', ':', '52.28070616722107', ':', '[72, 92, 123, 294]'
'person', ':', '86.17081642150879', ':', '[203, 155, 235, 231]'
'person', ':', '99.56574440002441', ':', '[168, 85, 366, 460]'
'person', ':', '99.78693723678589', ':', '[87, 76, 211, 324]'
